title;description;progress;url;language;image
Todo App GUI;A distraction-free Standalone Desktop app to help you focus on creating and completing tasks.;100;https://github.com/AkiTheMemeGod/Todo-APP;Python;1.png
Password Checkerv2.0;A Command line interfaced secure password manager, that generates,checks and manages your passwords securely;100;https://github.com/AkiTheMemeGod/Password_Checker-v2.0;Python;2.png
Password Manager Application;A standalone windows application for secure password management, that generates,checks and manages your passwords securely;100;https://github.com/AkiTheMemeGod/GUI_Pwd_Checker;Python;3.png
Python Ransomware;A ransomware made entirely in python, When executed encrypts all the important data in the victim machine and demands a secret phrase.;80;https://github.com/AkiTheMemeGod/Python_ransomware;Python;4.png
Numerical Methods and Analysis;A python script to calculate mathematical equations that involve numerical methods and analysis;30;https://github.com/AkiTheMemeGod/Numerical_Methods_Analysis;Python;5.png
Encryption and Decryption(Cryptography);An Symmetric Encryption script written in python, for encrypting texts and .txt files.;90;https://github.com/AkiTheMemeGod/Cryptography_enc_decrypt;Python;6.png
Hangman Game;A Simple Hangman game made entirely in python.;100;https://github.com/AkiTheMemeGod/Hangman_game;Python;7.png
Vault-Bot;A Discord-Bot made in python, fetches important documents on demand, whenever needed,;70;https://github.com/AkiTheMemeGod/Vault-Bot-discord;Python;8.png
Chat-Bot;An interactive discord-Bot made in python to randomly interact with people in a discord server.;70;https://github.com/AkiTheMemeGod/A-Simple-Chat-Bot;Python;9.png
Youtube Video Downloader;A Simple youtube video downloader made in python, upon pasting an youtube video link, fetches the youtube video locally.;60;https://github.com/AkiTheMemeGod/YoutubeVideoDownloader;Python;10.png
WPM Calculator;A Keyboard-Typing speed calculator made in python.;80;https://github.com/AkiTheMemeGod/WPM_calculator;Python;11.png
Multipurpose Media Bot;A Discord-bot made in python, for simple media processing requests, more like a FaaS.;40;https://github.com/AkiTheMemeGod/Akis_Discord_Bot;Python;12.png
Expense Tracker;An Application Developed in Flutter to Track your daily expenses, written in Dart.;20;https://github.com/AkiTheMemeGod/expense_tracker;C++;13.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;80;https://github.com/AkiTheMemeGod/MyPortfolio;Python;14.png
Todo App (Web App);A distraction-free web-app to help you focus on creating and completing tasks.;100;https://github.com/AkiTheMemeGod/Todo-WebApp;Python;15.png
Expense Tracker(Web App);An interactive web app for managing your daily expenses and incomes;100;https://spend-it-akash.streamlit.app/;Python;20.png
